fiscal_year,year,item_description,value_in_crores,released_on,updated_on,data_source,source_url
2018-19,2018,Current taxes on income wealth etc ,1147756.163,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Net Saving of Public Corporations,191648.802,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Net Saving of Private Corporations,1110862.229,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,"Current taxes on income and wealth, paid by corporations",751530.881,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Personal Income,14677608.19,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,"Current taxes on income and wealth, paid by households",396225.282,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Household Disposable Income,14281382.908,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Net National Income,17746868.267,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Other current transfers from RoW net,540364.033,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Net National Disposable Income,18287232.3,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Net Disposable Income of General Government,1476939.32,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Current taxes on income wealth etc ,1059639.979,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Net Saving of Public Corporations,353326.822,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Net Saving of Private Corporations,1092623.492,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,"Current taxes on income and wealth, paid by corporations",566475.019,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Personal Income,15857507.626,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,"Current taxes on income and wealth, paid by households",493164.96,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2019-20,2019,Household Disposable Income,15364342.666,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Net National Income,17246821.301,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Other current transfers from RoW net,552188.26,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Net National Disposable Income,17799009.561,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Net Disposable Income of General Government,795896.66,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Current taxes on income wealth etc ,948039.766,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Net Saving of Public Corporations,247020.747,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Net Saving of Private Corporations,1055772.037,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,"Current taxes on income and wealth, paid by corporations",556702.768,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Personal Income,16091657.115,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,"Current taxes on income and wealth, paid by households",391336.998,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2020-21,2020,Household Disposable Income,15700320.117,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Net National Income,20652786.383,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Other current transfers from RoW net,605443.909,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Net National Disposable Income,21258230.292,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Net Disposable Income of General Government,1553165.458,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
